Grupo Etário,Local,Sexo,RMSE,MAPE,Peso ARIMA,Peso ETS
0,Norte,Ambos,0.0631944746056313,1.2144337177286495,0.0761908969693171,0.9238091030306828
1-4,Norte,Ambos,0.0969321506635293,0.8846017941480563,-3.279767088182425,4.279767088182425
5-9,Norte,Ambos,0.1135717931443457,0.9446921879758384,3.860948195938916,-2.860948195938916
10-14,Norte,Ambos,0.0697691475082749,0.7668391410757225,4.444898918100046,-3.444898918100046
15-19,Norte,Ambos,0.0748177380199916,0.8926471154471751,3.6121110892486983,-2.6121110892486987
20-24,Norte,Ambos,0.0643373267386786,0.8536271902084965,1.4463668381506527,-0.4463668381506527
25-29,Norte,Ambos,0.0567983991420993,0.7380139203050542,-2.932632392135914,3.932632392135914
30-34,Norte,Ambos,0.093399046419282,1.198930780304449,-4.104597254493417,5.104597254493417
35-39,Norte,Ambos,0.1458408341572266,1.5874024425673032,-1.097284810569358,2.097284810569358
40-44,Norte,Ambos,0.2324263719399817,3.25986608839416,4.363888263252771,-3.363888263252771
45-49,Norte,Ambos,0.2645053659979989,3.918966357875389,-2.339160182250085,3.339160182250085
50-54,Norte,Ambos,0.229760576803741,2.944016452511856,-2.5359573431606512,3.5359573431606512
55-59,Norte,Ambos,0.2314416609737539,3.352637967086795,-2.7140202414291634,3.714020241429163
60-64,Norte,Ambos,0.2315738256761454,3.730402612245325,0.0422330116536279,0.957766988346372
65-69,Norte,Ambos,0.2463197754794376,4.599726507197904,-0.4141789306345808,1.4141789306345809
70-74,Norte,Ambos,0.2106831083283943,4.481498573380187,-3.613552644603964,4.613552644603964
75-79,Norte,Ambos,0.2137631539139269,5.939838418023098,5.057992191952055,-4.057992191952055
80-84,Norte,Ambos,0.1774759423892522,5.82083779496268,4.187788518060402,-3.187788518060402
85-89,Norte,Ambos,0.1760747161610612,7.702387139293884,4.829731323425675,-3.8297313234256753
90+,Norte,Ambos,0.1351685053382052,7.158214359884825,0.7411477979121253,0.2588522020878747
0,Nordeste,Ambos,0.0406961073135681,0.6384186545766817,-0.2880419016044581,1.288041901604458
1-4,Nordeste,Ambos,0.1422918065369068,1.4159370881272508,-4.301894413854931,5.301894413854931
5-9,Nordeste,Ambos,0.1139190661774961,1.1816777686091129,-2.902862489913324,3.902862489913324
10-14,Nordeste,Ambos,0.0458148236133221,0.4302814817988216,-2.0014944415407783,3.0014944415407783
15-19,Nordeste,Ambos,0.0582946914628716,0.5911887187716865,0.6537907822958058,0.3462092177041942
20-24,Nordeste,Ambos,0.0584481097633717,0.7051285010388746,0.6353605905885338,0.3646394094114662
25-29,Nordeste,Ambos,0.0642294797007606,0.8859074282669948,0.92433750372701,0.0756624962729899
30-34,Nordeste,Ambos,0.1062948386321062,1.3109046741594323,2.483116728578405,-1.4831167285784057
35-39,Nordeste,Ambos,0.1330781148719271,1.595378571296601,3.0808230094995466,-2.0808230094995466
40-44,Nordeste,Ambos,0.1443682532277981,1.7378622867221238,4.063139267509378,-3.063139267509378
45-49,Nordeste,Ambos,0.1727552724500259,2.3091043202810897,3.4660369599041583,-2.4660369599041583
50-54,Nordeste,Ambos,0.1922884911935693,3.075886982770484,5.817692496151112,-4.817692496151112
55-59,Nordeste,Ambos,0.184098859676491,3.164499296415092,-3.428386280720323,4.428386280720323
60-64,Nordeste,Ambos,0.1414099471002977,2.354732156779573,2.0181414446322727,-1.0181414446322727
65-69,Nordeste,Ambos,0.1340593879863243,2.509873554626351,0.4845637685966489,0.515436231403351
70-74,Nordeste,Ambos,0.1349994714638525,2.9150928877443656,-0.2202065291255791,1.220206529125579
75-79,Nordeste,Ambos,0.1092665958294913,2.74343024792121,1.1525643447344172,-0.1525643447344171
80-84,Nordeste,Ambos,0.0940377736891719,2.8492653287945457,0.3341991061641888,0.6658008938358111
85-89,Nordeste,Ambos,0.0836062219320696,3.294032959522509,0.732185813770901,0.267814186229099
90+,Nordeste,Ambos,0.1001033010952957,5.144357561172815,0.6307266956861707,0.3692733043138293
0,Sudeste,Ambos,0.0501689624494167,0.9257317632987953,2.1073321522620816,-1.1073321522620816
1-4,Sudeste,Ambos,0.1817517821630603,1.539192053178578,0.9374637961225772,0.0625362038774228
5-9,Sudeste,Ambos,0.1955783234667246,1.943472457915716,-3.540880656725372,4.540880656725372
10-14,Sudeste,Ambos,0.0844924831199831,0.8043345690480218,-3.4889494624823136,4.488949462482314
15-19,Sudeste,Ambos,0.0290664582574792,0.3570687658970639,-0.1369247411769439,1.136924741176944
